Search at time: 2025-05-19 19:39:22.704364
------- Epochs: 10 -------
Sequence Length: 25, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.7661228896044998
Sequence Length: 25, Learning rate: 1e-05, Batch size: 32, Validation Loss: 2.773739147529328
Sequence Length: 25, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.224844355514084
Sequence Length: 25, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.371478284106535
Sequence Length: 50, Learning rate: 1e-05, Batch size: 16, Validation Loss: 2.7850354695491655
Sequence Length: 50, Learning rate: 1e-05, Batch size: 32, Validation Loss: 3.164748129637345
Sequence Length: 50, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.334468350690954
Sequence Length: 50, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.3584323350120995
Sequence Length: 75, Learning rate: 1e-05, Batch size: 16, Validation Loss: 3.0004337248594863
Sequence Length: 75, Learning rate: 1e-05, Batch size: 32, Validation Loss: 3.3007956380429477
Sequence Length: 75, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.333892656409222
Sequence Length: 75, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.364455288106745
Sequence Length: 100, Learning rate: 1e-05, Batch size: 16, Validation Loss: 3.2097438763881074
Sequence Length: 100, Learning rate: 1e-05, Batch size: 32, Validation Loss: 3.3244024094413307
Sequence Length: 100, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.340671286863439
Sequence Length: 100, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.401523172855377
