-------Epochs: 10-------
Sequence Length: 25, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.6671962699444174
Sequence Length: 25, Learning rate: 0.0008, Batch size: 128, Validation Loss: 1.9990083084386938
Sequence Length: 50, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.6578317468972514
Sequence Length: 50, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.768067655356034
Sequence Length: 50, Learning rate: 0.0008, Batch size: 64, Validation Loss: 1.9741308022947872
Sequence Length: 50, Learning rate: 0.0008, Batch size: 128, Validation Loss: 2.1725662175346825
Sequence Length: 75, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.7156131954296776
Sequence Length: 75, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.871310399926227
Sequence Length: 75, Learning rate: 0.0008, Batch size: 64, Validation Loss: 2.031176100606504
Sequence Length: 75, Learning rate: 0.0008, Batch size: 128, Validation Loss: 2.2321327816356313
Sequence Length: 100, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.7490712801615398
Sequence Length: 100, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.9755657104884876
Sequence Length: 100, Learning rate: 0.0008, Batch size: 64, Validation Loss: 2.1261245082406437
Sequence Length: 100, Learning rate: 0.0008, Batch size: 128, Validation Loss: 2.3093109726905823
Sequence Length: 25, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.70808088264877
Sequence Length: 25, Learning rate: 0.0006, Batch size: 32, Validation Loss: 1.7608463875681377
Sequence Length: 25, Learning rate: 0.0006, Batch size: 64, Validation Loss: 1.8456000210582346
Sequence Length: 25, Learning rate: 0.0006, Batch size: 128, Validation Loss: 2.0500713306314804
Sequence Length: 50, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.6997984810698805
Sequence Length: 50, Learning rate: 0.0006, Batch size: 32, Validation Loss: 1.810676906419837
Sequence Length: 50, Learning rate: 0.0006, Batch size: 64, Validation Loss: 2.0058349511202644
Sequence Length: 50, Learning rate: 0.0006, Batch size: 128, Validation Loss: 2.2329571106854607
Sequence Length: 75, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.7873083055019379
Sequence Length: 75, Learning rate: 0.0006, Batch size: 32, Validation Loss: 1.904223903365757
Sequence Length: 75, Learning rate: 0.0006, Batch size: 64, Validation Loss: 2.0900155046711797
Sequence Length: 75, Learning rate: 0.0006, Batch size: 128, Validation Loss: 2.347803007472645
Sequence Length: 100, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.7888845067093337
Sequence Length: 100, Learning rate: 0.0006, Batch size: 32, Validation Loss: 2.0215224869111004
Sequence Length: 100, Learning rate: 0.0006, Batch size: 64, Validation Loss: 2.2080087801989388
Sequence Length: 100, Learning rate: 0.0006, Batch size: 128, Validation Loss: 2.3806557655334473
Sequence Length: 25, Learning rate: 0.0003, Batch size: 16, Validation Loss: 1.799639814191585
Sequence Length: 25, Learning rate: 0.0003, Batch size: 32, Validation Loss: 1.9229502986660965
Sequence Length: 25, Learning rate: 0.0003, Batch size: 64, Validation Loss: 2.080594905908557
Sequence Length: 25, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.2773094247369206
Sequence Length: 50, Learning rate: 0.0003, Batch size: 16, Validation Loss: 1.8876266736778424
Sequence Length: 50, Learning rate: 0.0003, Batch size: 32, Validation Loss: 2.0669027273205742
Sequence Length: 50, Learning rate: 0.0003, Batch size: 64, Validation Loss: 2.2334811897838818
Sequence Length: 50, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.448238078285666
Sequence Length: 75, Learning rate: 0.0003, Batch size: 16, Validation Loss: 1.9656059055224708
Sequence Length: 75, Learning rate: 0.0003, Batch size: 32, Validation Loss: 2.135244343591773
Sequence Length: 75, Learning rate: 0.0003, Batch size: 64, Validation Loss: 2.325242519378662
Sequence Length: 75, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.5985222296281294
Sequence Length: 100, Learning rate: 0.0003, Batch size: 16, Validation Loss: 2.0536410393922226
Sequence Length: 100, Learning rate: 0.0003, Batch size: 32, Validation Loss: 2.2383101968204273
Sequence Length: 100, Learning rate: 0.0003, Batch size: 64, Validation Loss: 2.403803418664371
Sequence Length: 100, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.8142834305763245
Sequence Length: 25, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.110067637704259
Sequence Length: 25, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.2819312493578137
Sequence Length: 25, Learning rate: 0.0001, Batch size: 64, Validation Loss: 2.456916978393776
Sequence Length: 25, Learning rate: 0.0001, Batch size: 128, Validation Loss: 2.6630806151558373
Sequence Length: 50, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.262762140027053
Sequence Length: 50, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.3943126374396724
Sequence Length: 50, Learning rate: 0.0001, Batch size: 64, Validation Loss: 2.6435008119134342
Sequence Length: 50, Learning rate: 0.0001, Batch size: 128, Validation Loss: 3.0659978249493767
Sequence Length: 75, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.341009393982265
Sequence Length: 75, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.5000206750372183
Sequence Length: 75, Learning rate: 0.0001, Batch size: 64, Validation Loss: 2.8721084802047065
Sequence Length: 75, Learning rate: 0.0001, Batch size: 128, Validation Loss: 3.245298385620117
Sequence Length: 100, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.3898600495379902
Sequence Length: 100, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.6394004190669342
Sequence Length: 100, Learning rate: 0.0001, Batch size: 64, Validation Loss: 3.113778969820808
Sequence Length: 100, Learning rate: 0.0001, Batch size: 128, Validation Loss: 3.3452716767787933
Sequence Length: 25, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.190194517588444
Sequence Length: 25, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.331445230854501
Sequence Length: 25, Learning rate: 8e-05, Batch size: 64, Validation Loss: 2.5503207289654277
Sequence Length: 25, Learning rate: 8e-05, Batch size: 128, Validation Loss: 2.841915817821727
Sequence Length: 50, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.31637076508227
Sequence Length: 50, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.4809810700623887
Sequence Length: 50, Learning rate: 8e-05, Batch size: 64, Validation Loss: 2.7753856392467724
Sequence Length: 50, Learning rate: 8e-05, Batch size: 128, Validation Loss: 3.2637604545144474
Sequence Length: 75, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.422917910244154
Sequence Length: 75, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.692393318466518
Sequence Length: 75, Learning rate: 8e-05, Batch size: 64, Validation Loss: 3.0595583501069443
Sequence Length: 75, Learning rate: 8e-05, Batch size: 128, Validation Loss: 3.28476543860002
Sequence Length: 100, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.4856765892194663
Sequence Length: 100, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.82516244579764
Sequence Length: 100, Learning rate: 8e-05, Batch size: 64, Validation Loss: 3.1651185119853302
Sequence Length: 100, Learning rate: 8e-05, Batch size: 128, Validation Loss: 3.3468006551265717
Sequence Length: 25, Learning rate: 3e-05, Batch size: 16, Validation Loss: 2.506789775203458
Sequence Length: 25, Learning rate: 3e-05, Batch size: 32, Validation Loss: 2.783645418908099
Sequence Length: 25, Learning rate: 3e-05, Batch size: 64, Validation Loss: 3.1817080974578857
Sequence Length: 25, Learning rate: 3e-05, Batch size: 128, Validation Loss: 3.456187746104072
Sequence Length: 50, Learning rate: 3e-05, Batch size: 16, Validation Loss: 2.8021784772118217
Sequence Length: 50, Learning rate: 3e-05, Batch size: 32, Validation Loss: 3.0862466528795767
Sequence Length: 50, Learning rate: 3e-05, Batch size: 64, Validation Loss: 3.358195325907539
Sequence Length: 50, Learning rate: 3e-05, Batch size: 128, Validation Loss: 3.412000389660106
Sequence Length: 75, Learning rate: 3e-05, Batch size: 16, Validation Loss: 2.918398908946825
Sequence Length: 75, Learning rate: 3e-05, Batch size: 32, Validation Loss: 3.2485379239787227
Sequence Length: 75, Learning rate: 3e-05, Batch size: 64, Validation Loss: 3.377560149068418
Sequence Length: 75, Learning rate: 3e-05, Batch size: 128, Validation Loss: 3.387577316977761
Sequence Length: 100, Learning rate: 3e-05, Batch size: 16, Validation Loss: 3.0234978337218794
Sequence Length: 100, Learning rate: 3e-05, Batch size: 32, Validation Loss: 3.336169726708356
Sequence Length: 100, Learning rate: 3e-05, Batch size: 64, Validation Loss: 3.3614189905278824
Sequence Length: 100, Learning rate: 3e-05, Batch size: 128, Validation Loss: 3.365330934524536
Sequence Length: 25, Learning rate: 1e-05, Batch size: 16, Validation Loss: 3.158499776888237
Sequence Length: 25, Learning rate: 1e-05, Batch size: 32, Validation Loss: 3.3813804499536966
Sequence Length: 25, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.5470194816589355
Sequence Length: 25, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.553097037708058
Sequence Length: 50, Learning rate: 1e-05, Batch size: 16, Validation Loss: 3.3346310639552934
Sequence Length: 50, Learning rate: 1e-05, Batch size: 32, Validation Loss: 3.431884637777356
Sequence Length: 50, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.439987343900344
Sequence Length: 50, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.4630559893215405
Sequence Length: 75, Learning rate: 1e-05, Batch size: 16, Validation Loss: 3.370324940785118
Sequence Length: 75, Learning rate: 1e-05, Batch size: 32, Validation Loss: 3.394312454306561
Sequence Length: 75, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.396935048310653
Sequence Length: 75, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.42226167158647
Sequence Length: 100, Learning rate: 1e-05, Batch size: 16, Validation Loss: 3.368384699890579
Sequence Length: 100, Learning rate: 1e-05, Batch size: 32, Validation Loss: 3.3718084377401016
Sequence Length: 100, Learning rate: 1e-05, Batch size: 64, Validation Loss: 3.392531633377075
Sequence Length: 100, Learning rate: 1e-05, Batch size: 128, Validation Loss: 3.460760861635208

BEST: best learning rate, sequence length and batch size combo: 0.003, 100, 16, loss: 1.5695
